CAMPUS,PROGRAMA_O_ENTRADA,G_201913,G_202011,G_202013,G_202111,G_202113,G_202211,G_202213,G_202311,G_202313,G_202411,G_202413,G_202511,G_202513,G_202611,G_202613,G_202711,G_202713,G_202811,G_202813,G_202911,G_202913,G_203011,G_203013
Monterrey,NEG,815,49,843,66,921,27,899,33,880,30,880,30,880,30,880,30,880,30,880,30,880,30,880
Monterrey,LEM,156,11,184,5,211,5,211,13,180,6,180,6,180,6,180,6,180,6,180,6,180,6,180
Monterrey,CPF,144,4,132,11,133,6,144,11,150,5,150,5,150,5,150,5,150,5,150,5,150,5,150
Monterrey,BGB,162,7,181,3,189,1,189,7,180,6,180,6,180,6,180,6,180,6,180,6,180,6,180
Monterrey,LDO,30,2,32,2,31,3,32,3,60,2,60,2,60,2,60,2,60,2,60,2,60,2,60
Monterrey,LAE,176,9,219,11,209,5,219,13,210,7,210,7,210,7,210,7,210,7,210,7,210,7,210
Monterrey,LIN,8,1,3,3,3,3,8,3,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Monterrey,LDE,51,3,28,3,24,1,51,3,60,2,60,2,60,2,60,2,60,2,60,2,60,2,60
Monterrey,LAF,208,6,291,20,296,8,296,20,240,8,240,8,240,8,240,8,240,8,240,8,240,8,240
Monterrey,LIT,58,4,82,5,100,1,100,5,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90
Monterrey,BFI,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30
Chihuahua,ICI,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Tampico,AMC,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Hidalgo,IBQ,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Hidalgo,AMC,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Chiapas,AMC,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
