PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,DESDE_GENERACION,HASTA_GENERACION,DESDE_SEMESTRE,HASTA_SEMESTRE
CIS,Ciudad de México,202213,203013,4,8
CIS,Estado de México,202213,203013,4,9
CIS,Guadalajara,202213,203013,4,10
CIS,Hidalgo,202213,203013,4,5
CIS,Puebla,202213,203013,4,9
CIS,Santa Fe,202213,203013,4,10
ESC,Estado de México,202213,203013,3,5
ESC,Laguna,202113,203013,3,8
ESC,León,202113,203013,3,4
ESC,Monterrey,202313,203013,7,7
ESC,Morelia,202413,203013,2,5
ESC,Querétaro,202213,203013,3,3
ESC,Santa Fe,202213,203013,3,8
IBQ,Chiapas,202413,203013,2,2
IBQ,Monterrey,202513,203013,2,2
IBQ,Morelia,202413,203013,2,3
IBQ,San Luis Potosí,202213,203013,4,9
IBQ,Tampico,202213,203013,3,9
ICI,Aguascalientes,202213,203013,3,3
ICI,Guadalajara,202513,203013,3,3
ICI,Irapuato,202213,203013,3,7
ICI,Morelia,202513,203013,2,2
ICI,Tampico,202213,203013,5,8
ICT,Aguascalientes,202313,203013,3,3
ICT,Central de Veracruz,202213,203013,2,2
ICT,Ciudad Obregón,202313,203013,5,8
ICT,Ciudad de México,202313,203013,4,9
ICT,Estado de México,202313,203013,4,8
ICT,Guadalajara,202313,203013,4,11
ICT,Irapuato,202413,203013,4,8
ICT,Monterrey,202313,203013,4,6
ICT,Morelia,202513,203013,2,2
ICT,Puebla,202213,203013,4,8
ICT,Santa Fe,202213,203013,4,8
ICT,Tampico,202413,203013,3,5
IIT,Aguascalientes,202213,203013,3,4
IIT,Central de Veracruz,202213,203013,2,2
IIT,Chiapas,202213,203013,3,3
IIT,Ciudad Obregón,202213,203013,3,3
IIT,Ciudad de México,202213,203013,4,14
IIT,Estado de México,202213,203013,4,10
IIT,Guadalajara,202211,203013,4,7
IIT,Irapuato,202213,203013,3,3
IIT,León,202113,203013,4,4
IIT,Monterrey,202213,203013,2,13
IIT,Morelia,202113,203013,2,10
IIT,San Luis Potosí,202213,203013,4,5
IIT,Santa Fe,202213,203013,4,8
IIT,Sonora Norte,202313,203013,4,9
IIT,Tampico,202213,203013,2,12
IIT,Toluca,202213,203013,4,8
IIT,Zacatecas,202213,203013,2,3
NEG,Central de Veracruz,202213,203013,2,2
NEG,Chiapas,202313,203013,2,3
NEG,Chihuahua,202113,203013,4,8
NEG,Ciudad Juárez,202113,203013,4,5
NEG,Cuernavaca,202213,203013,4,12
NEG,Estado de México,202213,203013,4,11
NEG,Hidalgo,202113,203013,4,9
NEG,Irapuato,202113,203013,2,8
NEG,Laguna,202213,203013,3,3
NEG,León,202113,203013,4,4
NEG,Monterrey,202213,203013,5,8
NEG,Morelia,202113,203013,2,8
NEG,Querétaro,202413,203013,2,2
NEG,San Luis Potosí,202213,203013,4,10
NEG,Santa Fe,202111,203013,2,7
NEG,Tampico,202213,203013,2,11
NEG,Toluca,202113,203013,5,8
NEG,Zacatecas,202313,203013,2,3
SLD,Monterrey,202313,203013,8,8
