PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,TEC21_PIN,TOTAL_INICIAL,SEMESTRE_AVANCE_GENERACION,CAMPUS_INDICADOR,CAMPUS_INSCRIPCION,PROGRAMATERM,TRANSFERENCIA,TRANSFERENCIA_TEMPORAL,ES_CLINICA,TOTAL_AGRUPACION,GENERACION,TERM,PERFIL
ESC,Ciudad de México,1,3.0,4,Ciudad de México,Ciudad de México,ESC,false,false,false,3.0,202211,202313,TEC B
IIT,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,IIT,false,false,false,1.0,202211,202313,TEC A+
IBQ,Estado de México,1,2.0,4,Estado de México,Estado de México,IBQ,false,false,false,2.0,202211,202313,TEC A
ESC,Monterrey,1,1.0,4,Monterrey,Monterrey,ESC,false,false,false,1.0,202211,202313,NA
NEG,Guadalajara,1,1.0,4,Guadalajara,Guadalajara,NEG,false,false,false,1.0,202211,202313,NO TEC B
NEG,Santa Fe,1,3.0,4,Santa Fe,Santa Fe,NEG,false,false,false,3.0,202211,202313,TEC A
NEG,Estado de México,1,2.0,4,Estado de México,Estado de México,NEG,false,false,false,2.0,202211,202313,TEC A+
NEG,Estado de México,1,6.0,4,Estado de México,Estado de México,NEG,false,false,false,6.0,202211,202313,NO TEC A
NEG,Ciudad de México,1,7.0,4,Ciudad de México,Ciudad de México,NEG,false,false,false,7.0,202211,202313,NO TEC D
ESC,Monterrey,1,5.0,4,Monterrey,Monterrey,ESC,false,false,false,5.0,202211,202313,NO TEC A
IIT,Estado de México,1,1.0,4,Estado de México,Estado de México,IIT,false,false,false,1.0,202211,202313,NO TEC B
ICT,Ciudad de México,1,1.0,4,Ciudad de México,Ciudad de México,ICT,false,false,false,1.0,202211,202313,TEC A+
ICI,Monterrey,1,2.0,4,Monterrey,Monterrey,ICI,false,false,false,2.0,202211,202313,NO TEC A+
CIS,Monterrey,1,1.0,4,Monterrey,Monterrey,CIS,false,false,false,1.0,202211,202313,TEC A+
NEG,Querétaro,1,1.0,4,Querétaro,Querétaro,NEG,false,false,false,1.0,202211,202313,NO TEC A+
IIT,Guadalajara,1,2.0,4,Guadalajara,Guadalajara,IIT,false,false,false,2.0,202211,202313,NO TEC A+
IIT,Querétaro,1,1.0,4,Querétaro,Querétaro,IIT,false,false,false,1.0,202211,202313,TEC A
ESC,Monterrey,1,2.0,4,Monterrey,Monterrey,ESC,false,false,false,2.0,202211,202313,TEC A
ESC,Monterrey,1,3.0,4,Monterrey,Monterrey,ESC,false,false,false,3.0,202211,202313,TEC B
ICI,Estado de México,1,1.0,4,Estado de México,Estado de México,ICI,false,false,false,1.0,202211,202313,NO TEC A
CIS,Santa Fe,1,5.0,4,Santa Fe,Santa Fe,CIS,false,false,false,5.0,202211,202313,NO TEC A
